Node,max_freq
SMC2_HUMAN,0.08
SMC3_HUMAN,0.16
SMG1_HUMAN,0.12
SMRC2_HUMAN,0.12
SMRCD_HUMAN,0.16
SND1_HUMAN,0.16
SNUT1_HUMAN,0.16
SOX1_HUMAN,0.12
SP16H_HUMAN,0.16
SPAST_HUMAN,0.12
SPT4H_HUMAN,0.16
SR140_HUMAN,0.2
SRC_HUMAN,0.16
SRP14_HUMAN,0.08
SRPK2_HUMAN,0.12
SRSF4_HUMAN,0.16
STK11_HUMAN,0.12
SUGP1_HUMAN,0.12
SUMO1_HUMAN,0.16
SUMO2_HUMAN,0.16
SYTC_HUMAN,0.12
T2AG_HUMAN,0.16
T2EA_HUMAN,0.16
T2FA_HUMAN,0.16
TAF6_HUMAN,0.16
TB182_HUMAN,0.12
TBB4A_HUMAN,0.12
TBK1_HUMAN,0.12
TBP_HUMAN,0.16
TCF25_HUMAN,0.12
TDIF2_HUMAN,0.16
TERF1_HUMAN,0.12
TETN_HUMAN,0.12
TF3C1_HUMAN,0.16
TFR1_HUMAN,0.16
TGFR1_HUMAN,0.12
THOC2_HUMAN,0.16
TICRR_HUMAN,0.12
TIM50_HUMAN,0.12
TMCO6_HUMAN,0.12
TNFA_HUMAN,0.08
TNR8_HUMAN,0.08
TRAF2_HUMAN,0.16
TRAF6_HUMAN,0.16
TRI32_HUMAN,0.16
UB2L3_HUMAN,0.16
UBA1_HUMAN,0.12
UBQL1_HUMAN,0.12
UBQL4_HUMAN,0.12
VPS72_HUMAN,0.09
WASP_HUMAN,0.16
WBP11_HUMAN,0.15
WNK1_HUMAN,0.16
WRN_HUMAN,0.04
XRCC5_HUMAN,0.16
XRCC6_HUMAN,0.16
ZAP70_HUMAN,0.16
ZBT16_HUMAN,0.12
ZN330_HUMAN,0.12
ZN397_HUMAN,0.04
ZN446_HUMAN,0.04
4ET_HUMAN,0.16
AB1IP_HUMAN,0.12
ABI1_HUMAN,0.16
ABL2_HUMAN,0.16
ABR_HUMAN,0.12
ACACA_HUMAN,0.16
ACAP1_HUMAN,0.16
ADDB_HUMAN,0.12
AGAP2_HUMAN,0.12
AJUBA_HUMAN,0.12
AN32B_HUMAN,0.16
API5_HUMAN,0.18
APOA1_HUMAN,0.12
ARI4A_HUMAN,0.16
ARMC7_HUMAN,0.12
ARP10_HUMAN,0.15
ASAP3_HUMAN,0.08
ASHWN_HUMAN,0.16
ATX10_HUMAN,0.16
BAG6_HUMAN,0.16
BCLF1_HUMAN,0.16
BD1L1_HUMAN,0.16
BPTF_HUMAN,0.16
C10_HUMAN,0.08
C1TM_HUMAN,0.12
C2C2L_HUMAN,0.08
CAP1_HUMAN,0.12
CBX3_HUMAN,0.16
CC020_HUMAN,0.12
CCD86_HUMAN,0.12
CCNK_HUMAN,0.12
CD5_HUMAN,0.16
CDK17_HUMAN,0.16
CDN1B_HUMAN,0.12
CE164_HUMAN,0.12
CE170_HUMAN,0.12
CE350_HUMAN,0.12
CEP95_HUMAN,0.12
CH60_HUMAN,0.16
CHSP1_HUMAN,0.16
CLAP1_HUMAN,0.16
CLAP2_HUMAN,0.16
CLK3_HUMAN,0.16
CO9_HUMAN,0.12
COMD6_HUMAN,0.16
CPZIP_HUMAN,0.12
CRIP2_HUMAN,0.12
CRTC1_HUMAN,0.12
CT2NL_HUMAN,0.12
CUX1_HUMAN,0.16
DAP1_HUMAN,0.12
DBF4A_HUMAN,0.16
DBNL_HUMAN,0.16
DDX3X_HUMAN,0.16
DDX52_HUMAN,0.12
DDX55_HUMAN,0.12
DEN1B_HUMAN,0.08
DHX30_HUMAN,0.16
DMXL2_HUMAN,0.08
DNLI1_HUMAN,0.16
DOCK7_HUMAN,0.16
DOK1_HUMAN,0.16
DOT1L_HUMAN,0.16
DSN1_HUMAN,0.16
DTBP1_HUMAN,0.12
DUS3_HUMAN,0.16
E41L2_HUMAN,0.12
EDC3_HUMAN,0.16
EEPD1_HUMAN,0.12
EF2K_HUMAN,0.16
EGLN1_HUMAN,0.16
EHBP1_HUMAN,0.12
ELL2_HUMAN,0.16
ELP4_HUMAN,0.12
EPN1_HUMAN,0.16
EPN4_HUMAN,0.12
ETS1_HUMAN,0.16
F5H0R1_HUMAN,0.16
FA53C_HUMAN,0.12
FACD2_HUMAN,0.16
FANCJ_HUMAN,0.16
FBLN1_HUMAN,0.12
FEM1A_HUMAN,0.12
FETUA_HUMAN,0.12
FOXK2_HUMAN,0.16
FUBP3_HUMAN,0.12
FYV1_HUMAN,0.16
GAB3_HUMAN,0.12
GAPD1_HUMAN,0.12
GBF1_HUMAN,0.16
GBRG2_HUMAN,0.12
GELS_HUMAN,0.16
GEPH_HUMAN,0.12
GLE1_HUMAN,0.12
GLPC_HUMAN,0.08
GRDN_HUMAN,0.16
GTF2I_HUMAN,0.16
GUAA_HUMAN,0.12
GYS1_HUMAN,0.12
H14_HUMAN,0.16
H15_HUMAN,0.16
H2B1M_HUMAN,0.12
H33_HUMAN,0.16
HAUS8_HUMAN,0.12
HECD1_HUMAN,0.12
HERC1_HUMAN,0.12
HJURP_HUMAN,0.16
HMHA1_HUMAN,0.12
HNRL1_HUMAN,0.12
HS105_HUMAN,0.12
ICAM2_HUMAN,0.12
IF4B_HUMAN,0.16
IF4H_HUMAN,0.12
IFG15_HUMAN,0.12
IKZF1_HUMAN,0.12
IKZF2_HUMAN,0.12
IMA1_HUMAN,0.16
INAR1_HUMAN,0.12
INCE_HUMAN,0.24
INF2_HUMAN,0.12
IPYR_HUMAN,0.12
IQCB1_HUMAN,0.08
IQGA1_HUMAN,0.08
IRF2_HUMAN,0.12
IRX1_HUMAN,0.12
ITFG2_HUMAN,0.08
ITIH1_HUMAN,0.12
ITIH2_HUMAN,0.12
J3KPH8_HUMAN,0.16
JARD2_HUMAN,0.09
JHD2C_HUMAN,0.12
JIP4_HUMAN,0.08
JUNB_HUMAN,0.16
K1C9_HUMAN,0.12
K2C1_HUMAN,0.12
KAPCB_HUMAN,0.12
KAT5_HUMAN,0.08
KCTD9_HUMAN,0.12
KDIS_HUMAN,0.12
KDM2A_HUMAN,0.12
KDM6B_HUMAN,0.12
KI67_HUMAN,0.12
KIF1B_HUMAN,0.16
KIF1C_HUMAN,0.16
KIF22_HUMAN,0.12
KIFC1_HUMAN,0.12
KKCC2_HUMAN,0.12
KLDC4_HUMAN,0.12
KLF13_HUMAN,0.16
KMT2C_HUMAN,0.16
L2GL1_HUMAN,0.08
LAGE3_HUMAN,0.12
LAP2A_HUMAN,0.12
LAR1B_HUMAN,0.12
LAR4B_HUMAN,0.12
LARP1_HUMAN,0.16
LASP1_HUMAN,0.16
LBR_HUMAN,0.16
LC7L2_HUMAN,0.16
LEO1_HUMAN,0.16
LEUK_HUMAN,0.12
LIMA1_HUMAN,0.12
LIMD1_HUMAN,0.12
LIPB1_HUMAN,0.16
LMBL3_HUMAN,0.12
LMNB2_HUMAN,0.12
LPIN1_HUMAN,0.12
LRCH3_HUMAN,0.12
LRRF1_HUMAN,0.08
LS14A_HUMAN,0.12
LZTS1_HUMAN,0.12
MA7D1_HUMAN,0.12
MABP1_HUMAN,0.12
MADD_HUMAN,0.12
MARCS_HUMAN,0.16
MARE2_HUMAN,0.12
MARK2_HUMAN,0.12
MAST2_HUMAN,0.12
MAST3_HUMAN,0.12
MB12A_HUMAN,0.16
MBP_HUMAN,0.08
MCES_HUMAN,0.12
MCM3_HUMAN,0.12
MCM4_HUMAN,0.16
MCP_HUMAN,0.12
MDC1_HUMAN,0.16
MEF2A_HUMAN,0.16
MEF2D_HUMAN,0.16
MFF_HUMAN,0.12
MGAP_HUMAN,0.12
MIA2_HUMAN,0.12
MINT_HUMAN,0.16
MKRN2_HUMAN,0.08
MNX1_HUMAN,0.12
MOV10_HUMAN,0.16
MPP8_HUMAN,0.12
MPZL1_HUMAN,0.16
MRP_HUMAN,0.16
MSL1_HUMAN,0.12
MY18A_HUMAN,0.18
MYO5A_HUMAN,0.12
MYPT1_HUMAN,0.16
NASP_HUMAN,0.12
NBEL2_HUMAN,0.12
NCBP1_HUMAN,0.16
NCK5L_HUMAN,0.12
NCOA2_HUMAN,0.16
NCOA3_HUMAN,0.16
NCOA5_HUMAN,0.12
NDE1_HUMAN,0.16
NDEL1_HUMAN,0.12
NDUA5_HUMAN,0.08
NELFE_HUMAN,0.15
NEXN_HUMAN,0.08
NF1_HUMAN,0.12
NFAC1_HUMAN,0.16
NFAC3_HUMAN,0.16
NFKB1_HUMAN,0.12
NGAP_HUMAN,0.16
NIPBL_HUMAN,0.16
NOC2L_HUMAN,0.16
NOSIP_HUMAN,0.12
NRL_HUMAN,0.08
NSD2_HUMAN,0.16
NU133_HUMAN,0.16
NUCKS_HUMAN,0.12
NUMB_HUMAN,0.16
OCAD2_HUMAN,0.12
OSB11_HUMAN,0.12
OSBL3_HUMAN,0.16
P121A_HUMAN,0.12
P5CR2_HUMAN,0.16
PACN3_HUMAN,0.12
PACS1_HUMAN,0.12
PAK4_HUMAN,0.12
PAN3_HUMAN,0.12
PAPOG_HUMAN,0.08
PARG_HUMAN,0.12
PARN_HUMAN,0.16
PB1_HUMAN,0.16
PCBP1_HUMAN,0.16
PCLO_HUMAN,0.12
PCM1_HUMAN,0.12
PDCD6_HUMAN,0.12
PDE3B_HUMAN,0.16
PDE4A_HUMAN,0.12
PDLI7_HUMAN,0.12
PEA15_HUMAN,0.16
PEDF_HUMAN,0.12
PER1_HUMAN,0.12
PEX3_HUMAN,0.16
PHAG1_HUMAN,0.16
PHB2_HUMAN,0.16
PHF20_HUMAN,0.16
PHF2_HUMAN,0.12
PHF3_HUMAN,0.12
PHF6_HUMAN,0.12
PHF8_HUMAN,0.12
PHIP_HUMAN,0.16
PI4KB_HUMAN,0.16
PKHA1_HUMAN,0.12
PML_HUMAN,0.16
PMS2_HUMAN,0.16
PNISR_HUMAN,0.16
PNKD_HUMAN,0.12
PP14B_HUMAN,0.12
PR38B_HUMAN,0.16
PRC2C_HUMAN,0.12
PRCC_HUMAN,0.12
PRDX6_HUMAN,0.12
PRKDC_HUMAN,0.16
PRP16_HUMAN,0.12
PRPS1_HUMAN,0.12
PSA5_HUMAN,0.12
PSF2_HUMAN,0.16
PSIP1_HUMAN,0.16
PSN1_HUMAN,0.12
PTBP1_HUMAN,0.16
PTBP3_HUMAN,0.12
PTN18_HUMAN,0.16
PTN1_HUMAN,0.16
PTN7_HUMAN,0.16
PTSS1_HUMAN,0.08
PTTG_HUMAN,0.16
PUM2_HUMAN,0.08
PXK_HUMAN,0.12
PYR1_HUMAN,0.16
R3HD1_HUMAN,0.12
RAB1A_HUMAN,0.12
RAI1_HUMAN,0.12
RALY_HUMAN,0.12
RARA_HUMAN,0.16
RASH_HUMAN,0.16
RASL3_HUMAN,0.12
RBCC1_HUMAN,0.08
RBGP1_HUMAN,0.16
RBL1_HUMAN,0.12
RBM14_HUMAN,0.12
RBM22_HUMAN,0.12
RBM26_HUMAN,0.12
RBMX2_HUMAN,0.32
RCN3_HUMAN,0.12
RECQ4_HUMAN,0.12
REEP4_HUMAN,0.12
RELL1_HUMAN,0.12
RERE_HUMAN,0.16
RFC1_HUMAN,0.16
RFIP1_HUMAN,0.12
RFX5_HUMAN,0.12
RHG04_HUMAN,0.12
RHG15_HUMAN,0.12
RHG35_HUMAN,0.16
RHPN2_HUMAN,0.12
RIF1_HUMAN,0.16
RIPK3_HUMAN,0.12
RL11_HUMAN,0.04
RL1D1_HUMAN,0.12
RL34_HUMAN,0.12
RLA2_HUMAN,0.08
RM38_HUMAN,0.12
RNC_HUMAN,0.12
ROA0_HUMAN,0.16
ROA2_HUMAN,0.16
ROAA_HUMAN,0.12
RPA43_HUMAN,0.12
RPAB2_HUMAN,0.04
RPB9_HUMAN,0.04
RPGF1_HUMAN,0.16
RPGP2_HUMAN,0.12
RPRD2_HUMAN,0.12
RRAGC_HUMAN,0.16
RRAGD_HUMAN,0.16
RRAS2_HUMAN,0.16
RRP12_HUMAN,0.12
RRP1B_HUMAN,0.12
RRP1_HUMAN,0.12
RS10_HUMAN,0.16
RS3_HUMAN,0.16
RS6_HUMAN,0.16
RSRC1_HUMAN,0.12
RTN4_HUMAN,0.16
RUFY1_HUMAN,0.12
RUNX1_HUMAN,0.16
RWDD4_HUMAN,0.12
RYBP_HUMAN,0.16
S26A2_HUMAN,0.04
S39A7_HUMAN,0.12
S39AA_HUMAN,0.04
SAFB2_HUMAN,0.16
SC61B_HUMAN,0.12
SCPDL_HUMAN,0.12
SELK_HUMAN,0.04
SEM4D_HUMAN,0.12
SENP7_HUMAN,0.12
SEPT6_HUMAN,0.12
SEPT9_HUMAN,0.12
SF3B1_HUMAN,0.16
SF3B2_HUMAN,0.16
SFR1_HUMAN,0.12
SFSWA_HUMAN,0.12
SH3L3_HUMAN,0.12
SHAN2_HUMAN,0.12
SHB_HUMAN,0.16
SHKB1_HUMAN,0.16
SI1L1_HUMAN,0.12
SIN3A_HUMAN,0.16
SIN3B_HUMAN,0.16
SIR1_HUMAN,0.16
SKA3_HUMAN,0.04
SKP1_HUMAN,0.12
SLTM_HUMAN,0.08
SLX4_HUMAN,0.16
SMBP2_HUMAN,0.12
SMC4_HUMAN,0.08
SMCA5_HUMAN,0.16
SMCO4_HUMAN,0.12
SMG5_HUMAN,0.16
SMRC1_HUMAN,0.16
SMUF2_HUMAN,0.12
SNRK_HUMAN,0.12
SNW1_HUMAN,0.12
SNX17_HUMAN,0.12
SOX4_HUMAN,0.12
SP130_HUMAN,0.12
SP1_HUMAN,0.16
SPAG7_HUMAN,0.08
SPD2A_HUMAN,0.12
SPD2B_HUMAN,0.16
SPIR1_HUMAN,0.12
SPT5H_HUMAN,0.16
SPTB2_HUMAN,0.12
SQSTM_HUMAN,0.16
SRA1_HUMAN,0.16
SRGP3_HUMAN,0.12
SRRM2_HUMAN,0.16
SRS10_HUMAN,0.16
SRS11_HUMAN,0.12
SRSF2_HUMAN,0.16
SRSF6_HUMAN,0.12
SRSF8_HUMAN,0.12
SRSF9_HUMAN,0.12
STAT3_HUMAN,0.12
STK3_HUMAN,0.01
STML2_HUMAN,0.12
STMN1_HUMAN,0.16
STX4_HUMAN,0.12
SYMPK_HUMAN,0.12
SZRD1_HUMAN,0.08
T184C_HUMAN,0.08
T22D4_HUMAN,0.16
T2EB_HUMAN,0.16
TACC1_HUMAN,0.12
TAF9B_HUMAN,0.16
TAGL2_HUMAN,0.12
TAL1_HUMAN,0.12
TANC1_HUMAN,0.12
TB10A_HUMAN,0.12
TBA1B_HUMAN,0.12
TBB2B_HUMAN,0.12
TBC13_HUMAN,0.08
TBC15_HUMAN,0.12
TBCD4_HUMAN,0.16
TBCE_HUMAN,0.12
TBD2B_HUMAN,0.16
TCOF_HUMAN,0.16
TCPB_HUMAN,0.16
TCPD_HUMAN,0.16
TCPZ_HUMAN,0.16
TDT_HUMAN,0.12
TEBP_HUMAN,0.16
TERA_HUMAN,0.16
TESK2_HUMAN,0.12
TEX2_HUMAN,0.12
TF2B_HUMAN,0.16
TF3B_HUMAN,0.12
TF3C2_HUMAN,0.16
TFDP2_HUMAN,0.16
TFPT_HUMAN,0.11
TGFA1_HUMAN,0.16
TGFB2_HUMAN,0.12
THOC5_HUMAN,0.16
TIA1_HUMAN,0.12
TIF1B_HUMAN,0.16
TIM13_HUMAN,0.08
TISD_HUMAN,0.12
TLE1_HUMAN,0.12
TLK2_HUMAN,0.12
TM160_HUMAN,0.12
TM230_HUMAN,0.12
TMED2_HUMAN,0.12
TMF1_HUMAN,0.12
TMM11_HUMAN,0.08
TMX1_HUMAN,0.12
TNKS1_HUMAN,0.12
TNKS2_HUMAN,0.12
TNR1A_HUMAN,0.16
TOM1_HUMAN,0.12
TOP1_HUMAN,0.16
TOPB1_HUMAN,0.12
TOPK_HUMAN,0.16
TP53B_HUMAN,0.16
TPC2A_HUMAN,0.12
TPC2L_HUMAN,0.04
TPD54_HUMAN,0.12
TPIS_HUMAN,0.12
TPR_HUMAN,0.16
TPX2_HUMAN,0.12
TR150_HUMAN,0.16
TRA2A_HUMAN,0.16
TRA2B_HUMAN,0.16
TREF1_HUMAN,0.12
TREX1_HUMAN,0.08
TRFE_HUMAN,0.16
TRFL_HUMAN,0.08
TRIPC_HUMAN,0.16
TRRAP_HUMAN,0.16
TS101_HUMAN,0.12
TSP1_HUMAN,0.16
TTC4_HUMAN,0.12
TYB10_HUMAN,0.12
U2AF2_HUMAN,0.12
UB2D2_HUMAN,0.16
UB2J1_HUMAN,0.16
UBAC2_HUMAN,0.3
UBAP2_HUMAN,0.08
UBC9_HUMAN,0.16
UBC_HUMAN,0.12
UBD_HUMAN,0.12
UBE2N_HUMAN,0.16
UBE2O_HUMAN,0.12
UBE2T_HUMAN,0.12
UBE3A_HUMAN,0.16
UBF1_HUMAN,0.16
UBN1_HUMAN,0.16
UBN2_HUMAN,0.12
UBP1_HUMAN,0.16
UBP24_HUMAN,0.12
UBP31_HUMAN,0.12
UBP36_HUMAN,0.12
UBP7_HUMAN,0.16
UBR4_HUMAN,0.16
UBR5_HUMAN,0.16
UBXN7_HUMAN,0.16
UCK2_HUMAN,0.08
UCKL1_HUMAN,0.04
UFL1_HUMAN,0.12
UHRF2_HUMAN,0.12
UIF_HUMAN,0.12
ULK1_HUMAN,0.16
UNKL_HUMAN,0.12
UNK_HUMAN,0.12
VIME_HUMAN,0.16
VINEX_HUMAN,0.16
VIR_HUMAN,0.12
VMA21_HUMAN,0.12
VP13B_HUMAN,0.12
VPP2_HUMAN,0.12
VRK3_HUMAN,0.12
VTDB_HUMAN,0.12
VTNC_HUMAN,0.16
WAC_HUMAN,0.12
WAPL_HUMAN,0.12
WBP2_HUMAN,0.16
WBP4_HUMAN,0.16
WDHD1_HUMAN,0.12
WDR5_HUMAN,0.16
WDR75_HUMAN,0.12
WEE1_HUMAN,0.16
WIPF1_HUMAN,0.16
WIPF2_HUMAN,0.16
XIAP_HUMAN,0.16
XRCC1_HUMAN,0.16
YLPM1_HUMAN,0.12
YTDC1_HUMAN,0.16
Z280C_HUMAN,0.12
Z512B_HUMAN,0.08
ZBED4_HUMAN,0.12
ZBT40_HUMAN,0.12
ZC11A_HUMAN,0.16
ZC3H1_HUMAN,0.09
ZC3H4_HUMAN,0.16
ZC3HD_HUMAN,0.12
ZC3HE_HUMAN,0.08
ZCCHV_HUMAN,0.12
ZCHC8_HUMAN,0.12
ZEP1_HUMAN,0.12
ZKSC8_HUMAN,0.12
ZN106_HUMAN,0.16
ZN217_HUMAN,0.16
ZN318_HUMAN,0.12
ZN335_HUMAN,0.17
ZN408_HUMAN,0.12
ZN592_HUMAN,0.12
ZN598_HUMAN,0.08
ZN609_HUMAN,0.12
ZN644_HUMAN,0.12
ZNF24_HUMAN,0.04
ZRAB2_HUMAN,0.08
ZZZ3_HUMAN,0.12
